Title Description,Standard Hours,Maximum Salary Rate
HCPPA,37.0,79294.0
BEAUTICIAN,37.5,46084.0
HOME HEALTH AIDE,37.5,45764.0
SPECIAL ASSISTANT TO THE BOROU,35.0,244820.0
ASSISTANT SYSTEMS ANALYST (HHC,35.0,40314.0
ASSISTANT TO THE PRESIDENT (QN,35.0,88500.0
DIRECTOR OF INTERGOVERNMENTAL,35.0,244820.0
FOOD SERVICE MANAGER,35.0,63075.0
ASSISTANT TO THE PRESIDENT (ST,35.0,88500.0
STUDENT LEGAL SPECIALIST,35.0,44915.0
EXECUTIVE DIRECTOR OF ADMINIST,35.0,244820.0
DIRECTOR (PLANT OPERATIONS SER,35.0,113500.0
ASSISTANT TO THE PRESIDENT (BR,35.0,55000.0
SECRETARY TO ASSISTANT TO PRES,35.0,61999.0
SECRETARY TO THE EXCUTIVE ASSI,35.0,61999.0
ASSOCIATE DIRECTOR-OPERATIONAL,35.0,244820.0
RESEARCH AND LIAISON COORDINAT,35.0,244820.0
RESEARCH LIAISON ADN GOVERNMEN,35.0,244820.0
DIRECTOR BOROUGH PRESIDENT'S O,35.0,244820.0
ASSISTANT TO THE PRESIDENT(BOR,35.0,234738.0
ASSISTANT TO THE PRESIDENT(BOR,35.0,82000.0
FISCAL AND POLICY ANALYST (BP,35.0,68842.0
CHAUFFEUR-ATTENDANT (BKLYN BOR,40.0,75967.0
DEPUTY OPERATION SUPPORT MANAG,35.0,244820.0
RESEARCH AND LIAISON SPECIALIS,35.0,73377.0
CHAUFFEUR-ATTENDANT (BORO PRES,35.0,25000.0
CHAUFFEUR-ATTENDANT (BORO PRES,40.0,25000.0
RESEARCH PROJECTS COORDINATOR,35.0,113500.0
ASSISTANT TO THE DEPUTY MAYOR,35.0,244820.0
RESEARCH PROJECTS COOR(MA)-MGR,35.0,244820.0
SPECIAL ASST TO THE DIRECTOR O,35.0,78128.0
SENIOR RACKETS INVESTIGATOR (B,40.0,87787.0
SUPERVISING RACKETS INVESTIGAT,40.0,90541.0
SPECIAL ASSISTANT TO DA (QUEEN,35.0,212614.0
PRINCIPAL ACCOUNTANT INVESTIGA,35.0,244820.0
EMPLOYEE HEALTH BENEFITS PROGR,35.0,244820.0
CHIEF ADMINISTRATOR OF IMPARTI,35.0,113500.0
"DIRECTOR, DATA PROCESSING COOR",35.0,113500.0
DIRECTOR OF BUILDING MANAGEMEN,35.0,244820.0
STATISTICAL SECRETARY (OMB),35.0,61793.0
STATISTICAL SECRETARY (OMB),35.0,86480.0
DEPUTY COMMISSIONER (TAXI AND,35.0,244820.0
GENERAL COUNSEL (TAXI & LIMOUS,35.0,244820.0
LEGISLATIVE AIDE (OFFICE OF TH,35.0,51529.0
SECRETARY (OFFICE OF THE MAYOR,35.0,71397.0
DEPUTY DIRECTOR FOR MAINTENANC,35.0,113500.0
DIRECTOR OF ENFORCEMENT (TAXI,35.0,244820.0
EXECUTIVE ADMINISTRATOR OF GRA,35.0,244820.0
ASSOCIATE ARTS PROGRAM SPECIAL,35.0,44992.0
EXECUTIVE ASSISTANT TO THE CIT,35.0,58163.0
"DIRECTOR, OFFICE OF OPERATIONS",35.0,244820.0
ASST EXECUTIVE DIRECTOR FOR PR,35.0,244820.0
ASST DIR OF INTERGVNMENTAL REL,35.0,244820.0
DEPUTY ASSISTANT DIRECTOR (CIV,35.0,244820.0
PROJECT PLANNER (MA),35.0,76857.0
SR PROJECT PLANNER (MA),35.0,97918.0
ASSISTANT COMMISSIONER(ADMINIS,35.0,244820.0
"DIR OF ADMINISTRATION, WORKER'",35.0,244820.0
PRINCIPAL ASSISTANT TO DEPUTY,35.0,74125.0
